gradients/resnet_model/batch_normalization_1/FusedBatchNorm_grad/FusedBatchNormGrad@GPU-0@(64x64x56x56)(64x64x56x56)(64x1)(64x1)(64x1)->(64x64x56x56)(64x1 slot 1 slot )(64x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	gradients/resnet_model/batch_normalization_1/FusedBatchNorm_grad/FusedBatchNormGrad	FusedBatchNormGrad	GPU-0	0	1996	1996	(64x64x56x56)(64x64x56x56)(64x1)(64x1)(64x1)->(64x64x56x56)(64x1 slot 1 slot )(64x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	1	1	0
resnet_model/conv2d_32/Conv2D@GPU-0@(64x256x14x14)(3x3x256x256)->(64x256x14x14)	resnet_model/conv2d_32/Conv2D	Conv2D	GPU-0	0	2235	2235	(64x256x14x14)(3x3x256x256)->(64x256x14x14)	1	1	0
resnet_model/batch_normalization_34/AssignMovingAvg_1/mul@GPU-0@(256x1)(1x1)->(256x1)	resnet_model/batch_normalization_34/AssignMovingAvg_1/mul	Mul	GPU-0	0	2	2	(256x1)(1x1)->(256x1)	1	1	0
resnet_model/batch_normalization_8/beta/read@GPU-0@(64x1)->(64x1)	resnet_model/batch_normalization_8/beta/read	Identity	GPU-0	0	1	2	(64x1)->(64x1)	0	1	0
gradients/resnet_model/conv2d_43/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(64x1024x14x14)(int32 4x1)(64x2048x7x7)->(1x1x1024x2048)	gradients/resnet_model/conv2d_43/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	8742	8742	(64x1024x14x14)(int32 4x1)(64x2048x7x7)->(1x1x1024x2048)	1	1	0
resnet_model/batch_normalization_3/AssignMovingAvg_1/mul@GPU-0@(256x1)(1x1)->(256x1)	resnet_model/batch_normalization_3/AssignMovingAvg_1/mul	Mul	GPU-0	0	2	2	(256x1)(1x1)->(256x1)	1	1	0
resnet_model/batch_normalization_24/AssignMovingAvg@GPU-0@(1024x1)(1024x1)->(1024x1)	resnet_model/batch_normalization_24/AssignMovingAvg	AssignSub	GPU-0	0	2	2	(1024x1)(1024x1)->(1024x1)	1	1	0
resnet_model/conv2d_25/kernel/Momentum@GPU-0@(no input)->(1x1x512x256)	resnet_model/conv2d_25/kernel/Momentum	VariableV2	GPU-0	0	2	3	(no input)->(1x1x512x256)	0	1	0
resnet_model/conv2d_34/kernel/read@GPU-0@(1x1x1024x256)->(1x1x1024x256)	resnet_model/conv2d_34/kernel/read	Identity	GPU-0	0	1	3	(1x1x1024x256)->(1x1x1024x256)	0	1	0
gradients/resnet_model/conv2d_50/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(1x1x2048x512)(64x512x7x7)(512x1 slot 1 slot )(512x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x2048x7x7)	gradients/resnet_model/conv2d_50/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	2111	2111	(int32 4x1)(1x1x2048x512)(64x512x7x7)(512x1 slot 1 slot )(512x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x2048x7x7)	1	1	0
